Müller,703000
Schmidt,518300
Schneider,313900
Fischer,267800
Weber,234400
Meyer,228800
Wagner,216400
Becker,201900
Schulz,201600
Hoffman,194400
Schäfer,166800
Koch,164200
Bauer,162500
Richter,162000
Klein,146500
Wolf,139700
Schröder,138300
Neumann,129900
Schwarz,120700
Zimmermann,118100
Braun,115500
Krüger,114300
Hofmann,114000
Hartmann,110900
Lange,109400
Schmitt,108400
Werner,107100
Schmitz,106900
Krause,106200
Meier,102100
Lehmann,100600
Schmid,99200
Schulze,95000
Maier,94700
Köhler,93300
Herrmann,92600
König,91100
Walter,90900
Mayer,89300
Huber,88400
Kaiser,86300
Fuchs,85400
Peters,83400
Lang,81700
Scholz,81300
Möller,80700
Weiß,79900
Jung,76100
Hahn,74100
Schubert,72500
